city_id,City,Cloudiness,Country,Date,Humidity,Lat,Long,Max Temp,Wind Speed
81,Ushuaia,20,AR,1667515097,48,-54.8,-68.3,62.26,6.91
82,Shelburne,44,CA,1667514953,76,44.0787,-80.2041,56.59,9.64
83,Hithadhoo,63,MV,1667515098,76,-0.6,73.0833,80.82,13.09
84,Necochea,0,AR,1667515098,53,-38.5473,-58.7368,58.24,18.45
85,Kaduy,69,RU,1667515099,90,59.2,37.15,27.36,2.68
86,Grand Gaube,34,MU,1667515099,73,-20.0064,57.6608,73.38,8.99
87,La Sarre,100,CA,1667515100,75,48.8002,-79.1996,54.72,14.34
88,São Filipe,100,CV,1667515100,51,14.8961,-24.4956,81.84,7.67
89,Jardim,4,BR,1667515100,61,-21.4803,-56.1381,64.65,7.18
90,Pemangkat,100,ID,1667515101,90,1.1667,108.9667,77.13,5.39
91,Lebu,66,CL,1667515101,87,-37.6167,-73.65,55.2,4.41
92,Armizonskoye,100,RU,1667515101,93,55.9461,67.6736,32.43,7.43
93,Santo Antônio do Içá,23,BR,1667515102,72,-3.1022,-67.9397,71.22,1.9
94,Östersund,75,SE,1667515102,100,63.1792,14.6357,45.61,12.66
95,Biabou,40,VC,1667515103,89,13.2,-61.1333,78.8,4.61
96,Longyearbyen,20,SJ,1667515103,86,78.2186,15.6401,31.84,6.91
97,Talnakh,100,RU,1667515104,95,69.4865,88.3972,16.21,8.99
98,Herat Province,100,AF,1667515104,44,34.5,62.0,62.49,6.71
99,Lüderitz,0,NA,1667515104,91,-26.6481,15.1594,58.41,2.35
100,Denia,92,ES,1667515105,56,38.8408,0.1057,72.75,8.01
101,Awjilah,96,LY,1667515105,61,29.1081,21.2869,64.45,8.57
102,Katsuura,100,JP,1667515106,57,35.1333,140.3,70.0,21.32
103,Indāpur,0,IN,1667515106,57,18.3,73.25,69.42,3.74
104,Barry,40,GB,1667514961,92,51.4067,-3.2694,47.64,6.91
105,Varadero,11,CU,1667515106,79,23.1536,-81.2514,83.16,13.73
106,Pangai,75,TO,1667515040,83,-19.8,-174.35,78.91,12.66
107,Pochutla,34,MX,1667515107,79,15.7432,-96.4661,85.82,4.68
108,Gao,71,ML,1667515108,17,16.6362,1.637,77.85,10.36
109,Bredasdorp,100,ZA,1667515108,96,-34.5322,20.0403,63.72,13.18
110,Mahon,75,ES,1667515024,73,39.8885,4.2658,70.36,6.91
111,George Town,20,MY,1667515109,96,5.4112,100.3354,77.9,4.61
112,Coquimbo,0,CL,1667515109,72,-29.9533,-71.3436,58.73,13.8
113,La Brea,75,HN,1667515110,83,15.8,-85.9667,81.91,6.91
114,La Santisima Trinidad,9,BO,1667515110,36,-14.8333,-64.9,78.78,9.22
115,Sheridan,40,US,1667514814,74,44.8333,-106.9173,34.02,4.61
116,Gewanē,3,ET,1667515111,45,10.1664,40.6453,78.44,2.82
117,Bathsheba,40,BB,1667515111,78,13.2167,-59.5167,83.01,13.8
118,Yellowknife,100,CA,1667515111,85,62.456,-114.3525,14.52,19.57
119,Yumen,0,CN,1667515112,56,40.2833,97.2,30.83,14.14
120,Pemberton,100,CA,1667515112,94,50.3164,-122.8027,37.09,5.08
121,Kavieng,88,PG,1667515113,69,-2.5744,150.7967,83.95,1.68
122,East London,96,ZA,1667515113,83,-33.0153,27.9116,67.5,16.55
123,Opuwo,1,NA,1667515113,23,-18.0607,13.84,68.04,6.2
124,Waingapu,99,ID,1667515114,70,-9.6567,120.2641,82.24,2.26
125,Codrington,95,AU,1667515114,77,-38.2667,141.9667,55.8,3.71
126,Havøysund,99,NO,1667515115,90,70.9963,24.6622,43.03,11.56
127,Santa Marta,75,CO,1667514957,87,11.2408,-74.199,84.25,9.22
128,Puerto Ayacucho,95,VE,1667515115,84,5.6639,-67.6236,73.78,4.38
129,Saint-Leu,67,RE,1667515115,100,-21.15,55.2833,75.96,4.03
130,Lavrentiya,37,RU,1667515116,74,65.5833,-171.0,14.9,6.53
131,Srednekolymsk,66,RU,1667515116,93,67.45,153.6833,-20.52,3.4
132,Esmeraldas,100,BR,1667515117,84,-19.7625,-44.3139,61.11,5.48
133,Srandakan,99,ID,1667515117,89,-7.9386,110.2506,78.35,6.76
134,Mar del Plata,0,AR,1667515104,81,-38.0023,-57.5575,55.42,15.99
135,Pisco,0,PE,1667515113,68,-13.7,-76.2167,66.25,16.11
136,Caravelas,100,BR,1667515118,89,-17.7125,-39.2481,69.19,19.26
137,Kabalo,99,CD,1667515118,97,-6.05,26.9167,68.11,3.78
138,Atasū,87,KZ,1667515119,73,48.6814,71.6433,35.1,8.66
139,Fortuna,75,US,1667515119,60,40.5982,-124.1573,55.92,10.36
140,Flinders,37,AU,1667515119,75,-34.5833,150.8552,64.38,5.01
141,Kudahuvadhoo,90,MV,1667515120,78,2.6708,72.8944,81.09,13.4
142,Pevek,39,RU,1667515120,98,69.7008,170.3133,-15.45,4.34
143,Arman',100,RU,1667515121,92,59.7,150.1667,26.02,10.45
144,Kigoma,100,TZ,1667515121,74,-4.8769,29.6267,75.56,13.06
145,Tsaratanana,42,MG,1667515121,83,-16.7833,47.65,73.69,2.77
146,Suriāpet,3,IN,1667515122,94,17.15,79.6167,71.19,2.44
147,Hofn,100,IS,1667515122,72,64.2539,-15.2082,44.51,14.0
148,Uray,84,RU,1667515122,87,60.1247,64.7758,30.78,3.71
149,Oparino,100,RU,1667515123,96,59.8518,48.2783,30.45,4.92
150,King City,23,US,1667515123,31,36.2127,-121.126,62.89,12.17
151,Dingle,78,PH,1667515124,91,10.9995,122.6711,78.91,6.15
152,Stromness,99,GB,1667515124,78,58.965,-3.296,48.87,10.0
153,Daru,100,PG,1667515124,73,-9.0763,143.2092,84.31,8.61
